Data,Views do Blog,Média Móvel de 7 dias,Média Móvel de 3 dias,Média Móvel de 21 dias
6-Mar-2009,1275,1577.142857,1461.666667,1566.428571
7-Mar-2009,1340,1541.571429,1436.666667,1554.761905
8-Mar-2009,1695,1547.428571,1551.666667,1563.285714
9-Mar-2009,1620,1512.285714,1575.333333,1576.714286
10-Mar-2009,1411,1534.428571,1584,1580.380952
11-Mar-2009,1721,1549.857143,1552,1568.761905
12-Mar-2009,1524,1546.857143,1558.333333,1560.285714
13-Mar-2009,1430,1533.857143,1467.333333,1551.761905
14-Mar-2009,1448,1536,1517.333333,1538.904762
15-Mar-2009,1674,1541.428571,1550.333333,1526.047619
16-Mar-2009,1529,1575.285714,1543,1509.238095
17-Mar-2009,1426,1596,1571.333333,1525.238095
18-Mar-2009,1759,1589.857143,1648.666667,1535.095238
19-Mar-2009,1761,1567,1698.333333,1533.52381
20-Mar-2009,1575,1544.285714,1580.333333,1524
21-Mar-2009,1405,1539.142857,1498,1522.857143
22-Mar-2009,1514,1489.285714,1429.666667,1512.95
23-Mar-2009,1370,1440.142857,1424.666667,1512.368421
24-Mar-2009,1390,1445.285714,1390,1516.944444
25-Mar-2009,1410,1465.571429,1405.666667,1521
26-Mar-2009,1417,1486.714286,1479.333333,1511.4375
27-Mar-2009,1611,1493.857143,1525,1510.266667
28-Mar-2009,1547,1493.428571,1606.666667,1516.285714
29-Mar-2009,1662,1507.333333,1543,1497.615385
30-Mar-2009,1420,1525.4,1489.666667,1475.666667
31-Mar-2009,1387,1504,1403.5,1466.636364
